JobTitle,CompanyName,Location,Summary,Salary,PostedOn
"
            Shopalyst Technologies - Backend Engineer - Python/NodeJs",Shopalyst Technologies Pvt Ltd,Hyderabad,"We are currently looking for people to join our Engineering Operations team where internet scale, reliability, security, high performance and self management…","₹4,00,000 - ₹8,00,000 a year",Not Mentioned
"
            Backend Python/Scala",PatientMD,Hyderabad,"Scala, Python or other related languages. Backend = Python, Scala / Akka, Java, C; We are looking for backend engineers with a passion for building highly…",Not Disclosed,Not Mentioned
"
            Post Silicon Validation",Intel,Hyderabad,"Prior experience with IA-Core Assembly, C and/or C++ programming, Python. The Validation Architect (VA) will work as part of the newly-formed FVDG (Functional…",Not Disclosed,3 days ago
"
            Business Process Associate",NUKG Business Solutions,Hyderabad,Candidates with exposure to coding / scripting using Python as well as Sql Server may be considered as Business Systems Analysts.. You are a people person?.,Not Disclosed,Not Mentioned
"
Python Developer",Unify,"Hyderabad, Telangana",Strong experience with Python 2 and 3. You will take Python to its limits. You will be an active developer of software infrastructure and framework for the core…,Not Disclosed,2 days ago
"
Python Scripting",Accenture,"Hyderabad, Telangana",1 Work experience as a Python Developer 2 Expertise in at least one popular Python framework like Django Flask or Pyramid 3 Knowledge of object-relational…,Not Disclosed,13 days ago
"
Python API Developer",Acedezines,"Secunderabad, Telangana","An API developer will design, develop and mentor other developers to create well written, high performing APIs and services.","₹10,000 - ₹15,000 a month",4 days ago
"
Python Developer",Soulstice Software Solutions Pvt.Ltd,"Hyderabad, Telangana","Expert in Python, with knowledge of at least one Python web framework such as Django, Flask, etc. Familiarity with event-driven programming in Python.",Not Disclosed,3 days ago
"
            Odoo/Python developers",TeXByte Solutions,"Cannanore, Kerala","Or equivalent with experience in Python, JavaScript & CSS programming. Engineering Graduates, MCA, BCA, M.Sc. Knowledge of Linux and Odoo is preferred.",Not Disclosed,5 days ago
"
Python, Django",Job Galleon,"Bengaluru, Karnataka","Job Summary Greeting from Job Galleon...! Work Location: Bangalore Exp: 1 - 5 yrs Salary: 30,000/- Notice Period: Immediate Designation: Python &…","₹30,000 a month",3 days ago
"
            Embedded Engineer - Computer Vision",Yantravision Software Pvt Ltd,"Bengaluru, Karnataka","Good Knowledge of Python Scripting. *Looking for engineers with following skill set and/or interest,. Programming experience on Embedded Platforms.","₹20,000 - ₹45,000 a month",2 days ago
"
Python",Capgemini,"Mumbai, Maharashtra",Ython Object Oriented Python programming Machine learning libraries like weka tensorflow scikit learn keras Good written and verbal communication skill Good…,Not Disclosed,6 days ago
"
Python Developer",Onewealth,"Delhi, Delhi","Need a python developer on Delhi With an experience of 1-2 years Job Type: Full-time Salary: ₹40,000.00 to ₹50,000.00 /month Experience: * work: 1 year …","₹40,000 - ₹50,000 a month",3 days ago
